prompt_id,family,split,replicate,requested_model,resolved_model,response_id,response_status,incomplete_reason,response_text,input_tokens,cached_input_tokens,output_tokens,total_tokens,created_at_utc,latency_seconds,attempts,error
fact-019,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0af84b45b3bd1dbd016a6780a88cb08196a68ca48c99b5564f,completed,,"Leap years are added to keep the calendar aligned with Earth’s orbit around the Sun. A year is not exactly 365 days; it’s about 365.2422 days. That extra fraction adds up over time, so if we used only 365-day years, the seasons would slowly shift on the calendar. By adding one extra day every four years, we correct for most of that difference. In the Gregorian calendar, a few century years are exceptions to keep the adjustment more accurate.",83,0,102,185,2026-07-27T16:00:42.546375Z,1.555514,1,
fact-020,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0241fe37323a3896016a6780a8d4348194959596e1158ba69b,completed,,"A computer processor (CPU) performs the core computations and controls the execution of programs. It reads instructions from memory, carries them out using its arithmetic/logic units, and coordinates data flow between other components. Memory (RAM) temporarily stores data and instructions that the processor needs while programs run. RAM is fast but volatile, so its contents are cleared when the computer powers off. Longer-term storage is handled by drives (like SSDs), not by RAM.",84,0,95,179,2026-07-27T16:00:42.722759Z,1.461123,1,
fact-020,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_06c000dd39b412b4016a6780a9d5cc8196ac24c76fcc24866f,completed,,"A computer processor, or CPU, is the part that carries out instructions and performs calculations. It acts like the “brain” of the computer, deciding what to do next and processing data step by step.

Memory stores the data and instructions the CPU is currently using. Short-term memory, like RAM, lets the computer work quickly on active tasks, while longer-term storage keeps files and programs even when the computer is turned off.",84,0,89,173,2026-07-27T16:00:43.666895Z,1.439754,1,
fact-021,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0d4547897343c4cf016a6780aa1c30819081350d6b692068c0,completed,,"Salt (such as sodium chloride) helps melt ice because it lowers the freezing point of water, a process called freezing point depression. When salt dissolves into the ice’s surface moisture, it creates a saltwater solution that doesn’t freeze as easily as pure water. As a result, the ice turns into a slushy liquid and can break apart, spreading the melting across the road. Salt also slightly weakens ice by changing the conditions at the ice–water interface.",84,0,98,182,2026-07-27T16:00:43.838725Z,1.292275,1,
fact-021,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0719d7723f7a6761016a6780aa47488197bfed37891bb29baf,completed,,"Salt helps melt ice by lowering water’s freezing point. When salt is spread on ice, it dissolves in the thin layer of liquid water that’s usually present on the surface. This forms salty water, or brine, which can stay liquid at temperatures below 0°C (32°F). As more ice melts into the brine, the process continues until the temperature gets too low for the salt to work well. That’s why road salt is effective in winter, especially when it’s not extremely cold.",84,0,106,190,2026-07-27T16:00:44.402551Z,1.67972,1,
fact-022,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_031545765014fdb1016a6780ab43f48190866be2bf3f1a1afc,completed,,"The kidneys help maintain internal balance (homeostasis) by filtering blood to remove wastes and controlling key substances. They regulate water balance by adjusting how much urine to release, preventing dehydration or excess fluid. They balance salts and electrolytes (like sodium, potassium, and chloride) by reabsorbing or excreting them as needed. They maintain acid–base balance by managing hydrogen ion and bicarbonate levels. They also help control blood pressure and support red blood cell production by producing hormones.",84,0,101,185,2026-07-27T16:00:45.356280Z,1.689299,1,
fact-022,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_05e63760ec028086016a6780af81dc81949c7fa4d6d08b3f02,completed,,"The kidneys help maintain the body’s internal balance, or homeostasis, by filtering the blood and removing wastes, excess water, and extra salts in urine. They regulate fluid levels, helping control blood volume and blood pressure. They also keep electrolyte levels, such as sodium, potassium, and calcium, within a healthy range. In addition, the kidneys help maintain the body’s acid-base balance by adjusting how much acid or bicarbonate is excreted or retained.",84,0,96,180,2026-07-27T16:00:49.353472Z,5.514677,3,
fact-023,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0d60de26e932a686016a6780abf6d48194878313e8dbce5ea7,completed,,"Renewable energy sources are replenished naturally on a human timescale and generally have lower long-term depletion risk. Examples include solar, wind, hydro, geothermal, and biomass. Nonrenewable energy sources are finite and take millions of years to form, so they will eventually run out. Examples include coal, oil, and natural gas, as well as nuclear fuel (uranium). While both can produce pollution, nonrenewables typically emit more greenhouse gases when used, contributing more to climate change.",85,0,103,188,2026-07-27T16:00:45.995224Z,1.592608,1,
fact-023,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_02020814d21856fa016a6780ae92508197ab95e28543693eec,completed,,"Renewable energy sources are naturally replenished on a human timescale, so they can be used repeatedly without being permanently depleted. Examples include solar, wind, hydroelectric, geothermal, and biomass.

Nonrenewable energy sources are finite and take millions of years to form, so they can run out if used faster than they are replaced. Examples include coal, oil, natural gas, and uranium for nuclear power.

In short: renewable sources are replenished quickly; nonrenewable sources are limited and depletable.",85,0,107,192,2026-07-27T16:00:48.621026Z,3.264655,2,
fact-024,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_057b426cdf1dbf2a016a6780ad8f4081948c2cb007316f0a52,completed,,"An ordinary lunar phase happens because the Moon orbits Earth and we see different portions of its sunlit half—so the Moon appears crescent, half, or full, with no Earth shadow involved. An eclipse occurs when the Sun, Earth, and Moon (or Earth, Moon, and Sun) line up closely enough for one body’s shadow to fall on another: a lunar eclipse happens when Earth’s shadow covers the Moon. During an eclipse, the Moon typically darkens or changes color, not just its “lit fraction.”",84,0,110,194,2026-07-27T16:00:47.645167Z,1.649885,1,
fact-024,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0a3e26ef05395077016a6780af3b608194883e6a9a530db972,completed,,"An ordinary lunar phase is just the changing view of the Moon’s sunlit half as it orbits Earth, caused by the Sun-Earth-Moon geometry. The Moon is always lit on one side; we simply see different amounts of that lit side.

An eclipse is a special event where one body casts a shadow on another. In a lunar eclipse, Earth’s shadow falls on the Moon; in a solar eclipse, the Moon blocks the Sun from view. Eclipses require near-perfect alignment, so they happen much less often than phases.",84,0,113,197,2026-07-27T16:00:49.386563Z,1.741079,1,
fact-025,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_09fbb31d490f64ab016a6780b02ed881978a8f9cb8da74e68d,completed,,"A compass needle generally points north because Earth has a magnetic field. The needle is magnetized, so it experiences a torque that aligns its magnetic moment with the external magnetic field lines. Near the surface, those magnetic field lines point toward the magnetic north region, so the needle settles in that direction. (This is based on Earth’s magnetic field, not true geographic north, so declination can cause a slight offset.)",82,0,87,169,2026-07-27T16:00:50.346729Z,1.725627,1,
